amfi_code,scheme_name,category,cagr_3y,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,rank_3y,rank_sharpe,rank_alpha,rank_expense,rank_dd,score
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,30.44,1.1801011976606492,29.2636,-18.19,1.36,90.0,90.0,95.0,65.0,62.5,84.5
119094,Axis Midcap Fund - Regular - Growth,Equity,33.62,0.9982309868636414,26.0767,-20.96,1.38,100.0,75.0,80.0,60.0,70.0,80.75
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,31.07,1.0936987435346308,27.1954,-16.22,1.38,92.5,85.0,87.5,60.0,50.0,80.5
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,32.56,1.4482911703262602,26.9838,-11.27,1.46,97.5,100.0,85.0,45.0,20.0,80.0
120843,Kotak Flexicap Fund - Regular - Growth,Equity,28.35,1.3067439695428407,27.3305,-12.97,1.45,85.0,97.5,90.0,47.5,32.5,78.25
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,31.12,1.0265242847993004,21.1948,-12.59,0.8,95.0,77.5,70.0,72.5,30.0,75.75
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,25.57,0.9453082575156094,30.337,-28.71,1.43,72.5,67.5,100.0,50.0,90.0,75.12
149324,DSP Small Cap Fund - Regular - Growth,Equity,25.88,0.9497958246616032,30.0579,-31.17,1.52,77.5,70.0,97.5,36.25,92.5,74.94
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,27.96,1.2349300257743299,28.2704,-16.4,1.6,82.5,95.0,92.5,11.25,52.5,73.94
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,29.18,1.208266567372718,23.201,-15.01,1.54,87.5,92.5,77.5,26.25,42.5,73.06
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,21.73,1.0816591793457044,21.8294,-17.41,1.51,67.5,82.5,75.0,41.25,57.49999999999999,67.81
149323,DSP Midcap Fund - Regular - Growth,Equity,25.76,1.1321218524747247,26.5986,-17.25,1.61,75.0,87.5,82.5,7.5,55.00000000000001,67.5
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,27.76,1.0272133278753697,21.3998,-11.29,1.6,80.0,80.0,72.5,11.25,22.5,62.44
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,20.24,0.6452074382933216,15.6438,-18.63,0.72,65.0,50.0,47.5,88.75,65.0,61.31
